,wantedauthno,company,busino,title,saltpnm,sal,minsal,maxsal,region,holidaytpnm,minedubg,maxedubg,career,regdt,closedt,infosvc,wantedinfourl,wantednobileinfourl,zipcd,strtnmcd,basicaddr,detailaddr,emptpcd,jobscd,smodifydtm,prefcd
564,K131212012100071,광성정밀,6101981200,생산직 구인(외국인가능),월급,190만원 ~ 200만원,1900000,2000000,울산 북구,주5일근무,학력무관,,신입,20-12-10,채용시까지  21-01-31,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K131212012100071,,44222,312004853161,울산광역시 북구 매곡산업4길 72,,10,813201,202012101748,
565,KJK3002012100007,백상기업(주),1058133654,오산 미공군관사 관리소장 모집 공고,연봉,4200만원 ~ 4200만원,42000000,42000000,경기 평택시,주5일근무,대졸(4년),,경력,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJK3002012100007,,17760,412203188103,경기도 평택시 탄현1로 176,오산 미공군관사,20,013903,202012101748,B
566,KJDI002012100009,마음정원재가노인복지센터,1268029349,(치매교육이수) 사회복지사 모집,월급,190만원,1900000,0,인천 연수구,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJDI002012100009,,21910,281853152012,인천광역시 연수구 선학로 101,상가동 129호,20,231100,202012101748,12|B
567,K140062012100019,(주)에너피아,5148160452,구지2공장 생산직원,연봉,3000만원,30000000,0,대구 달성군,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140062012100019,,43011,277103148024,대구광역시 달성군 구지면 달성2차로 21,,10,890005,202012101748,13
568,K141112012100034,(주)대우넥스테크,5068178835,금속창호 현장 제작 및 시공  보조원 구합니다.,월급,230만원,2300000,0,경북 포항시 남구,주6일근무,학력무관,,관계없음,20-12-10,20-12-31,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K141112012100034,,37810,471112303004,경상북도 포항시 남구 희망대로 967,,10,702701,202012101748,
569,KJSU002012100004,행복마을복지센터,6118025778,★방문요양 요양보호사 구인[급구],시급,10738원 ~ 10738원,10738,10738,경남 합천군,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJSU002012100004,,50205,488904844579,경상남도 합천군 야로면 창동청계길 44-1,행복마을복지센터,10,550104,202012101747,12
570,K151122012100054,수요양원,1358034166,병점동 수요양원에서 함께 일하실  요양보호사 구인...,월급,195만원 ~ 200만원,1950000,2000000,경기 화성시,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151122012100054,,18405,415903210046,경기도 화성시 병점1로 218,씨네샤르망 B동 902호,10,550103,202012101747,12|13
571,K140022012100056,중원건설(주),2148889505,건축시공기술자 모집,월급,200만원 ~ 250만원,2000000,2500000,대구 남구,주6일근무,대졸(2~3년),,경력,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140022012100056,,42490,272004232237,대구광역시 남구 앞산순환로93길 20-27,,10,016100,202012101747,
572,KJSU002012100003,행복마을복지센터,6118025778,★주간보호 요양보호사 구인,월급,179만원 ~ 179만원,1795310,1795310,경남 합천군,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJSU002012100003,,50205,488904844579,경상남도 합천군 야로면 창동청계길 44-1,행복마을복지센터,10,550103,202012101747,12
573,K141112012100033,스페이스타임,4041293311,수원/평택/안성  다기능공 구합니다,월급,250만원,2500000,0,경기 화성시,주6일근무,학력무관,,경력,20-12-10,20-12-11,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K141112012100033,,18334,415903012004,경기도 화성시 봉담읍 삼천병마로 853-4,,10,702901,202012101747,
574,KF11152012100004,여수시노인복지회관,4178203609,노인맞춤돌봄서비스 사업 생활지원사 모집,월급,113만원 ~ 235만원,1137090,2350000,전남 여수시,주5일근무,대졸(2~3년),,경력,20-12-10,채용시까지  20-12-31,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KF11152012100004,,59672,461304646951,전라남도 여수시 학동서4길 58-16,,21,232901,202012101747,
575,K131532012100005,다소니재가노인복지센터복지센터,5558001966,요양보호사 채용,시급,10800원 ~ 10810원,10800,10810,경남 고성군,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K131532012100005,,52901,488203342028,경상남도 고성군 영오면 옥천로 1493-6,,10,550104,202012101747,
576,K140142012100026,주식회사범우,5028187614,cctv 및 출입통제 통신공사 직원 모집합니다.,연봉,3000만원,30000000,0,대구 북구,주5일근무,대졸(2~3년),,경력,20-12-10,20-12-24,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140142012100026,,41475,272303018037,대구광역시 북구 호국로 251,3F 강남센터 (주) 범우,10,832901,202012101746,13
577,KJK4002012100012,포천소방서,1278307499,기간제 근로자 (대체인력- 구급)채용,월급,250만원 ~ 300만원,2500000,3000000,경기 포천시,,학력무관,,관계없음,20-12-10,20-12-15,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJK4002012100012,,11154,416503000136,경기도 포천시 군내면 호국로 1538,1538,20,307100,202012101757,
578,K150122012100055,나눔레이저,4032500634,레이저기사(오퍼레이터) 긴급 모집합니다.,월급,250만원 ~ 250만원,2500000,2500000,인천 서구,주5일근무,학력무관,,경력,20-12-10,20-12-24,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K150122012100055,,22856,282604855150,인천광역시 서구 북항로193번길 50,나눔레이저,10,813212,202012101746,13
579,K170052012100059,다산에너지,3148653230,전기설계 기술사 구합니다.(설계가능자),연봉,5000만원,50000000,0,대전 유성구,주5일근무,대졸(2~3년),,경력,20-12-10,채용시까지  20-12-31,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K170052012100059,,34025,302003167072,대전광역시 유성구 테크노2로 187,미건테크노 월드 2차 a동 307호,10,153104,202012101746,
580,K151122012100053,빅트리어린이집,5028024247,12월부터 함꼐 근무할 보육교사 선생님을 모십니다...,월급,179만원 ~ 180만원,1795310,1800000,경기 수원시 장안구,주5일근무,고졸,,신입,20-12-10,20-12-31,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151122012100053,,16334,411114322321,경기도 수원시 장안구 정자천로189번길 47,관리동 1층,10,232100,202012101746,
